X=361; Y=133; Q=338; D=114; Target state: LIVE;
X=362; Y=132; Q=338; D=115; Target state: LIVE;
X=362; Y=132; Q=338; D=115; Target state: LIVE;
X=362; Y=131; Q=338; D=116; Target state: LIVE;
X=362; Y=131; Q=338; D=117; Target state: LIVE;
X=362; Y=130; Q=338; D=117; Target state: LIVE;
X=363; Y=129; Q=338; D=118; Target state: LIVE;
X=363; Y=129; Q=338; D=118; Target state: LIVE;
X=363; Y=128; Q=338; D=119; Target state: LIVE;
X=363; Y=128; Q=338; D=119; Target state: LIVE;
X=363; Y=127; Q=338; D=120; Target state: LIVE;
X=364; Y=127; Q=338; D=120; Target state: LIVE;
X=364; Y=126; Q=338; D=121; Target state: LIVE;
X=364; Y=126; Q=338; D=122; Target state: LIVE;
X=364; Y=125; Q=338; D=122; Target state: LIVE;
X=364; Y=125; Q=338; D=123; Target state: LIVE;
X=365; Y=124; Q=338; D=123; Target state: LIVE;
X=365; Y=124; Q=338; D=124; Target state: LIVE;
X=365; Y=123; Q=338; D=124; Target state: LIVE;
X=365; Y=123; Q=338; D=125; Target state: LIVE;
X=365; Y=122; Q=338; D=125; Target state: LIVE;
X=366; Y=122; Q=338; D=126; Target state: LIVE;
X=366; Y=121; Q=338; D=127; Target state: LIVE;
X=366; Y=121; Q=338; D=127; Target state: LIVE;
X=366; Y=120; Q=338; D=128; Target state: LIVE;
X=366; Y=120; Q=338; D=128; Target state: LIVE;
X=367; Y=119; Q=338; D=129; Target state: LIVE;
X=367; Y=119; Q=338; D=129; Target state: LIVE;
X=367; Y=118; Q=338; D=130; Target state: LIVE;
X=367; Y=118; Q=338; D=130; Target state: LIVE;
X=367; Y=117; Q=338; D=131; Target state: LIVE;
X=368; Y=117; Q=338; D=132; Target state: LIVE;
X=368; Y=116; Q=338; D=132; Target state: LIVE;
X=368; Y=116; Q=338; D=133; Target state: LIVE;
X=368; Y=115; Q=338; D=133; Target state: LIVE;
X=368; Y=114; Q=338; D=134; Target state: LIVE;
X=369; Y=114; Q=338; D=134; Target state: LIVE;
X=369; Y=113; Q=338; D=135; Target state: LIVE;
X=369; Y=113; Q=338; D=135; Target state: LIVE;
X=369; Y=112; Q=338; D=136; Target state: LIVE;
X=369; Y=112; Q=338; D=137; Target state: LIVE;
X=370; Y=111; Q=338; D=137; Target state: LIVE;
X=370; Y=111; Q=338; D=138; Target state: LIVE;
X=370; Y=110; Q=338; D=138; Target state: LIVE;
X=370; Y=110; Q=338; D=139; Target state: LIVE;
X=370; Y=109; Q=338; D=139; Target state: LIVE;
